1stEntity	2ndEntity	Relation	Sentence	False_Positive(x)_Checked_by_3_Annotators	Confidence(?/5)
spain	madrid	/location/country/capital	part modern social history , part travelogue , '' ghosts of spain '' is held together by elegant first-person prose that allows readers an occasional glimpse of tremlett 's personal life in madrid amid the more general accounts of family life -lrb- children are coddled and fussed over and considered almost '' public property '' -rrb- , the medical system -lrb- respect for the white coat , he writes , is still absolute -rrb- , nocturnal entertainment -lrb- spaniards are said to be the most enthusiastic brothel-goers -- and cocaine users -- in europe -rrb- , and so on .	x	4
cuba	havana	/location/location/contains	boquete -lrb- pronounced bo-kett-eh -rrb- boarded a shrimp boat in the port of mariel , cuba , in 1980 , when he was 25 , leaving behind one son , two marriages , a career as a diesel mechanic in havana and a jail record as a cuban army deserter -- this last credential essential , he believed , to helping him clear bureaucratic hurdles for departing cuba .		5
florida	everglades	/location/location/contains	not quite the brackish swamp that many imagine it to be , the everglades -lrb- first named pa-hay-okee , for '' grassy water , '' by the calusa indians -rrb- is actually a wide , shallow river flowing through florida 's 80 southernmost miles of mainland and in many places blending into the shores of the atlantic or the gulf of mexico .		4
cuba	havana	/location/country/administrative_divisions	roberto gonzález echevarría , a professor of literature at yale university and the author of '' the pride of havana : a history of cuban baseball , '' said he was informally advising garagiola and had the impression that baseball officials wanted to work with cuba .		4
shilpa_shetty	india	/people/person/nationality	gere 's kiss ignites protests richard gere touched off demonstrations and protests in india when he planted several kisses on the face of the actress and '' celebrity big brother '' winner shilpa_shetty , right , at an aids awareness rally in new delhi , the bbc reported .		3
israel	jerusalem	/location/location/contains	more recently , yasir arafat was offered a state in almost all the west bank , gaza and parts of jerusalem by ehud barak and then more generously by bill clinton , and turned it down because the offer did not include the destruction of israel by flooding it with returning refugees .	x	4
france	paris	/location/country/capital	i knew that paris , france , existed , '' said patrick dunne , the proprietor of a french quarter antique shop called lucullus , who declined to give his age . ''	x	5
norway	oslo	/location/country/capital	when ms. rice arrived in oslo , norway , on wednesday for a meeting with nato ministers , she declined to comment on the subpoena .	x	5
kristian_menchaca	houston	/people/person/place_of_birth	kristian_menchaca of houston and pfc .		4
turkey	ankara	/location/country/capital	the talks , in ankara , turkey , continued late into the evening .	x	5
middle_east	jordan	/location/location/contains	if there seems to be no published playbook , there are informal rules , and these were gathered by interviewing militants and their leaders , islamic clerics and scholars in jordan , syria , lebanon and england , along with government intelligence officials in the middle_east , europe and the united states .	x	5
jesus_christ	golgotha	/people/deceased_person/place_of_death	there is golgotha in the holy land , where our lord jesus_christ suffered for our sins .		5
connecticut	new_haven	/location/location/contains	but for the last 10 years , it has run a deficit as big-name acts skipped over new_haven to play in connecticut 's casinos or other , newer venues .	x	4
thailand	bangkok	/location/country/capital	prime minister surayud chulanont of thailand on thursday rejected the advice of the general who put him in power , declining to declare a state of emergency in bangkok to clamp down on antigovernment protesters .	x	3
westchester_county	yorktown_heights	/location/location/contains	this is not a panacea , '' said jerry robock , 56 , of community biofuels in yorktown_heights , n.y. , who lectures on biodiesel use in westchester_county . ''	x	4
russian	russia	/people/ethnicity/geographic_distribution	a physicist who speaks russian and grew up in east germany , she has put stronger relations between the european union and russia high on her list of priorities .	x	4
germany	berlin	/location/country/administrative_divisions	he studied music at the stern and klindworth-scharwenka conservatories in germany , and in 1939 , the family fled from berlin to london , where mr. landau continued his musical studies at the guildhall school .		5
jordan	amman	/location/country/capital	joost hiltermann , director of the international crisis group 's office in amman , jordan , agreed . ''	x	5
edgar_allan_poe	baltimore	/people/deceased_person/place_of_death	poe , evermore a mystery man arrived at edgar_allan_poe 's grave at the westminster burial grounds in baltimore on friday morning , as he has on poe 's birthday -lrb- jan. 19 -rrb- every year since 1949 , watched by the largest group of onlookers ever , the associated press reported .		3
malaysia	kuala_lumpur	/location/country/capital	but justice michael r. ambrecht of state supreme court in manhattan said that as a professional base -lrb- bridge , antenna , span , earth -rrb- jumper , mr. corliss , who has parachuted from the eiffel tower , the golden gate bridge and the petronas towers in kuala_lumpur , malaysia , was experienced and careful enough to jump off a building without endangering his own life or anyone else 's . ''	x	5
romania	bucharest	/location/country/capital	popa -- ervin a. , of new york city , on april 18th , age 98 , formerly of bucharest , romania .	x	4
jürgen_klinsmann	germany	/people/person/nationality	there was really only one of those -- jürgen_klinsmann , the touchy-feely coach who had just coached germany to a glorious third place .	x	3
carol_bellamy	bear_stearns	/business/person/company	outsiders who have been mentioned as possible candidates include carol_bellamy , former executive director of unicef , the first woman elected president of the new york city council and a former managing director for bear_stearns ; and william j. mulrow , an investment banker close to mr. spitzer who ran for comptroller in 2002 , among others .		3
norway	oslo	/location/country/capital	i was born in oslo , norway , the son of a volvo factory worker and part-time ice fisherman , '' a mock self-tribute begins . ''	x	5
new_york_city	liberty_island	/location/location/contains	the only way to reach liberty_island from new_york_city is to file onto one of the old circle line boats , after enduring a long wait for tickets and a line at the security checkpoint where all visitors must remove their shoes , jackets and belts .		3
paris	france	/location/administrative_division/country	aimee , born in paris , and her parents fled france in 1942 , and made a new and happy life in the united states .		4
pedro_almodóvar	spain	/people/person/nationality	pedro_almodóvar 's '' volver , '' the tragicomic tale of a mother 's survival , won five awards , including best film , best director and best actress -lrb- penélope cruz -rrb- when the goya awards , spain 's counterpart of the oscars , were bestowed in madrid yesterday , reuters reported .	x	4
elvis_presley	memphis	/people/deceased_person/place_of_death	the theme of this year 's issue is music , and this special goes behind the scenes with the models , who shimmied at locations like the rock and roll hall of fame in cleveland and graceland , the elvis_presley mansion in memphis .	x	4
giuseppe_verdi	italy	/people/person/nationality	at least since 1846-7 , when giuseppe_verdi and his librettist francesco maria piave applied themselves to transforming '' macbeth '' to opera , italy has been no stranger to abridging this tragedy ; this production retains the play 's highlights , including lady macbeth 's sleepwalking scene , banquo 's ghost , the witches ' recipe and the coming of birnam wood to dunsinane .	x	4
south_africa	cape_town	/location/location/contains	also , in the last few years , three low-fare carriers -- kulula , 1time and mango , the low-cost carrier of south_african airways -- have emerged in south_africa , offering one-way rates as low as 248 rand -lrb- $ 33.50 , at 7.6 rand to the dollar -rrb- from johannesburg to cape_town .		3
martha_moxley	greenwich	/people/person/place_lived	crawford mills , a former classmate of michael c. skakel 's , testified on wednesday that he tried to give lawyers information he thinks might have prevented mr. skakel 's 2002 conviction for the 1975 murder of martha_moxley in greenwich .		4
northern_ireland	belfast	/location/country/capital	the events on tuesday at the stormont parliament building -- once an emblem of protestant hegemony in northern_ireland -- ended direct rule from london , which was reinstated in october 2002 , after the belfast authority was suspended in a dispute over allegations of espionage by the irish republican army .	x	4
frank_wedekind	germany	/people/person/nationality	spring awakening , '' with music by the soft-rock singer-songwriter duncan sheik and lyrics by steven sater , is an anomaly : a theatrical song cycle adapted from the frank_wedekind play and set in 1891 germany .		5
