1stEntity	2ndEntity	Relation	Sentence	False_Positive(x)_Checked_by_3_Annotators
south_korea	seoul	/location/location/contains	awash with cash from south_korea 's economic takeoff , incheon and seoul are being joined in the building rush by busan , which also plans two skyscrapers of more than 100 stories .	
middle_east	iran	/location/location/contains	since last summer the administration has asserted that a realignment is occurring in the middle_east , one that groups saudi arabia , egypt , jordan and lebanon along with israel against iran , syria and the militant groups that they back : hezbollah and hamas .	
italy	positano	/location/location/contains	hands-on culinary skills is what families will get at cooking vacations ' new secret garden positano trip to positano , italy ; (800) 916-1152 ; www.cooking-vacations.com .	
jordan	amman	/location/country/capital	the meeting reflects a recognition on the part of all players that they have no interest in iraq falling apart , in its partition or in it disintegrating into a failed state , '' said joost hiltermann , director of the international crisis group 's office in amman , jordan .	
chicago	university_of_chicago	/location/location/contains	new arts center in chicago the new york architects tod williams and billie tsien have been chosen to design a $ 100 million arts center at the university_of_chicago , the university is to announce today .	
south_korea	seoul	/location/country/capital	even officials in south_korea and japan have been wary of assailing an increasingly assertive china for the periodic clouds of pollution that drift over seoul and tokyo .	
kentucky	south	/location/location/contains	for purposes of study , the south is divided into three colonial regions : the chesapeake , encompassing maryland , eastern virginia and northeastern north carolina , which grew very rich from tobacco before the american revolution ; the low country , which includes the coastal areas of southeastern north carolina , south carolina and georgia , which prospered from trade in rice , indigo and cotton ; and the rural back country , including parts of virginia , the piedmont of north carolina , south carolina , georgia , tennessee and kentucky -- but not mississippi and alabama .	x
iran	natanz	/location/location/contains	and then last week , a senior iranian official confirmed in an interview that mr. ivanov had threatened iran with an ultimatum : the fuel would be delivered only after iran 's enrichment of uranium at natanz was frozen .	
mexico	juárez	/location/country/administrative_divisions	there is a housing deficit in juárez , and all over mexico , so speculators are now buying land and flipping it .	
lloyd_kaufman	troma_entertainment	/business/person/company	we try to inspire people to understand that they do not just have to work for paramount or sony -- that does not necessarily validate their lives , '' said lloyd_kaufman , the longtime president of troma_entertainment , whose book-and-dvd combination program , '' make your own damn movie , '' offers lessons on everything from script conferences to presentations to potential investors to creating inexpensive yet realistic special effects .	
westchester_county	pocantico_hills	/location/location/contains	some have moved toward reducing their carbon footprint by switching to local bottled water instead of imported , as dan barber has done at blue hill at stone barns in pocantico_hills in westchester_county , n.y. a week ago he also added house-made seltzer , served from old-fashioned glass bottles .	
kim_jong-il	north_korea	/people/person/nationality	at christmas , burpee landed on the seattle times 's '' naughty '' list along with north_korea 's leader , kim_jong-il . ''	
spain	madrid	/location/country/capital	it is at this moment -- the end of the spanish pacto del olvido , the pact of forgetting -- that giles tremlett , the madrid correspondent for the guardian , opens his incisive and engaging book '' ghosts of spain . ''	x
baltimore	pikesville	/location/location/contains	he is a son of ellen karp of baltimore and jonathan karp of pikesville , md. .	x
france	paris	/location/location/contains	last week a 24-member jury that included france 's culture minister and the mayor of paris picked mr. nouvel 's design over those of mr. portzamparc , francis soler , zaha hadid , the vienna-based firm coop himmelb -lrb- l -rrb- au and the dutch firm mvrdv .	
spain	málaga	/location/location/contains	for the museo picasso in málaga , spain , for example , which opened in 2004 , the firm restored a 16th-century palace , inserted six new buildings and created a new public plaza . ''	
washington_heights	new_york_city	/location/neighborhood/neighborhood_of	many families wanted a cemetery close to washington_heights , the center of new_york_city 's dominican community , specifically trinity , at 153rd street and riverside drive .	
elvis_presley	memphis	/people/person/place_lived	the challenge has been avoiding what peter guralnick , the author of the elvis_presley biography '' last train to memphis , '' calls '' the whole hagiographic approach '' : stringing together the best-known moments from an artist 's career like so many life magazine snapshots . ''	x
spain	madrid	/location/location/contains	josé martín and pilar lópez of the national museum of natural sciences in madrid made this discovery by experimenting with lizards they captured in the mountains of central spain .	x
taiwan	taipei	/location/location/contains	if you fly from new york to hong kong , for example , you may want to know that united is offering a bonus of 7,500 to 10,000 miles for flights between san francisco and taipei , taiwan , or that japan airlines is offering a 3,000-mile bonus for booking online .	
corbis	bill_gates	/business/company/founders	chris does not have the same stage personality as wurman had , '' said doug rowan , the former chief executive of corbis , a photo archive owned by bill_gates . ''	x
rockland_county	new_city	/location/us_county/county_seat	speaker sheldon silver and the members of the new york state assembly offer our sympathy and our prayers to the zebrowski family , to assembly member ken zebrowski 's many friends , and to the citizens of new_city , haverstraw , and all of rockland_county .	x
israel	jerusalem	/location/country/capital	teddy kollek , who as mayor of jerusalem for nearly three decades did more to build and develop the city as israel 's capital than any other figure while promoting coexistence with a sometimes hostile arab population , died tuesday in jerusalem .	
mikhail_gorbachev	soviet_union	/people/person/nationality	this was mr. reagan 's ultimate challenge to the soviet_union -- and , so they believe , mikhail_gorbachev simply capitulated when , in november 1989 , he failed to respond with force as germans suddenly began tearing down the wall .	x
france	paris	/location/country/capital	on april 5 , the rev. john r. kleinheksel , a minister of the reformed church in america and a pastoral assistant at the american church in paris , performed a ceremony in the garden of the monet house in giverny , france .	x
sun_microsystems	scott_g._mcnealy	/business/company/founders	for example , mr. ballmer opened settlement talks over a round of golf in california with scott_g._mcnealy , sun_microsystems ' chairman , and addressed the french senate in fluent french .	
david_sloan_wilson	binghamton_university	/business/person/company	david_sloan_wilson , an evolutionary biologist at binghamton_university , takes a different and decidedly refreshing approach .	
mitch_mcconnell	kentucky	/people/person/place_lived	but senator mitch_mcconnell of kentucky , the republican leader , said he did not want to hold up financing for the war by spending more time than necessary on a measure that will never become law .	
france	paris	/location/country/capital	he and his wife own a pied - à - terre in paris and a home in st. tropez , and travel to france at least once a month .	x
brian_mulroney	canada	/people/person/nationality	they included mr. kahn ; paul g. desmarais sr. , the head of one of canada 's wealthiest families ; and the former prime minister , brian_mulroney , as well as mr. black . ''	
middle_east	iran	/location/location/contains	with iran steadily gaining power in the middle_east , the united states recently made a strategic decision to encourage saudi arabia to take a more active role in diplomacy in the region .	
south_korea	seoul	/location/country/administrative_divisions	the top united states negotiator on north korea 's nuclear weapons program , christopher r. hill , an assistant secretary of state , said in seoul , south_korea , on tuesday that it was still possible to meet the deadline . ''	
israel	jerusalem	/location/country/capital	in the past month , ms. rice has sought to reignite a peace initiative , even arranging a meeting between prime minister ehud olmert of israel and mahmoud abbas , the palestinian president , in jerusalem on feb. 19 .	x
ian_paisley	northern_ireland	/people/person/nationality	they have led to the alice in wonderland situation we now have , in which the government of northern_ireland has been placed in the hands of two sworn enemies -- the extreme protestant minister ian_paisley and the former i.r.a. guerrilla martin mcguinness .	
south_korea	seoul	/location/country/administrative_divisions	even officials in south_korea and japan have been wary of assailing an increasingly assertive china for the periodic clouds of pollution that drift over seoul and tokyo .	
coney_island	new_york_city	/location/neighborhood/neighborhood_of	there is a spot in new_york_city where you can watch the dawn blush over jamaica bay in queens and slip swiftly down the shore to coney_island in brooklyn , then hop across new york harbor to suburban stretches of staten island .	
berlin	germany	/location/administrative_division/country	mr. taylor begins , therefore , with the awkward , hastily improvised partition of germany and berlin after the war , and the irreconcilable differences that would make berlin a trigger for potential east-west conflict , and an insoluble problem for both adversaries , especially as german leaders , east and west , learned how to manipulate their masters .	
berkeley	chez_panisse	/location/location/contains	the benign figure looming over this new food consciousness is alice waters , the creator of chez_panisse in berkeley , calif. , and the subject of thomas mcnamee 's illuminating '' alice waters and chez_panisse . ''	
thailand	bangkok	/location/country/capital	the general who led the coup in thailand last september on wednesday asked his appointed prime minister to impose a state of emergency in bangkok as public opposition to the government grew louder .	x
israel	west_bank	/location/location/contains	mr. abbas was speaking in a televised address to mark the 40th anniversary of the start of the 1967 arab-israeli war , which ended in a stunning military victory for israel and a sobering defeat for the arab armies , and began israel 's occupation of the west_bank and gaza strip .	
edwin_catmull	pixar	/business/person/company	mr. lasseter and edwin_catmull , a pixar founder who was named president of the combined animation groups of disney and pixar and who oversees operations , have designs for a new headquarters in nearby glendale .	
france	paris	/location/country/capital	when his followers in paris sang france 's stirring , if sanguinary , national anthem , the fiaf crowd joined in .	x
vailsburg	newark	/location/neighborhood/neighborhood_of	in collaboration with assemblyman thomas p. giblin , a democrat whose family has roots in county roscommon and the vailsburg section of newark , mr. cummings , who was the assistant director for special collections at the newark public library , began searching archives for pieces of the story .	
india	telugu	/location/country/languages_spoken	even during summer vacations in india , there were barriers that prevented us from speaking freely : my telugu was less than perfect ; my grandmother 's english was never smooth .	
south_africa	stellenbosch	/location/location/contains	-lrb- try the crisp 2005 verlegen sauvignon blanc , from the stellenbosch region of south_africa . -rrb-	
damascus	syria	/location/administrative_division/country	intelligence analysts have been divided over whether it is the policy of the government in damascus to aid the flow of foreign fighters who enter iraq from syria , or whether that assistance is the work of lower-level syrian officials acting on their own .	
paula_jones	arkansas	/people/person/place_lived	for example , as the lawyer for president bill clinton in the 1990s , he got a settlement of a lawsuit charging sexual misconduct brought by paula_jones , a former arkansas state employee .	
croatia	dubrovnik	/location/location/contains	croatia is one of the most requested destinations simply because cruisers have not been there yet , '' said bruce good , spokesman for the yachts of seabourn , which will call on ports like split , dubrovnik , rovinj and zadar , as well as kotor in montenegro and koper in slovenia .	
cyprus	larnaca	/location/location/contains	a significant amount of equipment is in storage at a warehouse in larnaca , cyprus , including gas masks , monitoring cameras and laboratory equipment .	
eric_e._schmidt	google	/business/person/company	google 's chief executive , eric_e._schmidt , above , said the company thought it could '' add value to this important medium by delivering more relevant ads to viewers . ''	
wajid_khan	toronto	/people/person/place_lived	the lawmaker , wajid_khan of toronto , a former pilot in the pakistani air force , said he had defected partly because he had to choose between staying a liberal and continuing as a special adviser to mr. harper on south asia and the middle east .	
switzerland	davos	/location/location/contains	ernst haefliger , a swiss tenor who was most renowned as an interpreter of german art song and oratorio roles , died on saturday in davos , switzerland , where he maintained a second home .	
new_york_city	bedford_park	/location/location/contains	we get cursed on in every language in new_york_city , '' said matthew ancrum , 49 , a production assistant who lives in bedford_park in the bronx .	
lackawanna_county	scranton	/location/location/contains	the decision by lackawanna_county to funnel a half million dollars of its arts and culture budget into a low-budget film by a first-time feature director is not without critics in scranton . ''	
paris	france	/location/administrative_division/country	in paris , alain laurens , who in 2000 founded la cabane perchée , a treehouse design studio , said he will build 35 in 2007 , up from 25 in 2004 , for clients in spain , italy , france and portugal .	x
spain	madrid	/location/country/capital	the socialist government of spain will never again negotiate with the basque separatist group eta after a deadly attack on madrid 's main airport terminal nine days ago , interior minister alfredo pérez rubalcaba said monday . ''	x
riga	latvia	/location/administrative_division/country	additionally , he built a memorial in the rumbula forest outside riga , latvia to honor the 27,000 jews who had been mass-murdered at the site .	
middle_east	iran	/location/location/contains	benjamin solomon evanston , ill. , april 8 , 2007 to the editor : david brooks reports that '' moderate arab reformers '' have traced the problems in iraq , iran and other middle_east hot spots to a country roughly the size of massachusetts that dominates the affairs of its arab neighbors and operates a puppet government in washington as well .	
india	dharamsala	/location/location/contains	but on a pouring day last summer in dharamsala , home to the tibetan exile community in india , i did .	
sweet_auburn	atlanta	/location/neighborhood/neighborhood_of	j. w. robinson , 80 , remembers when the sweet_auburn neighborhood in atlanta was a mecca for aspiring african-american professionals like himself .	
richard_c._davis	charleston	/people/person/place_lived	the first season followed trademark properties , based near charleston , s. c. and run by richard_c._davis .	x
israel	west_bank	/location/location/contains	saeb erekat , the chief palestinian negotiator and a close aide of president mahmoud abbas , of fatah , said israel 's actions in the west_bank had been '' undermining the chances '' of reaching a new cease-fire . ''	
california	berkeley	/location/location/contains	he plans to be in california on sunday to deliver a speech -- about selma and civil rights -- at the university of california , berkeley .	
turkey	ankara	/location/country/capital	a vote in congress would be purely symbolic , but turks have warned that it would be felt as a bitter slap , and could cause enormous public pressure on the government in ankara to chill its cooperation with washington , which has strong military ties to turkey , a nato member .	
